ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DEPARTAMENTO,NOMBRE_TARIFA_PLAN,TARIFA_NORMAL,TARIFA_REDUCIDA,TARIFA_SUPER_REDUCIDA,SMS_LIBRES,RED_DESTINO,TARIFA_SMS_ADICIONAL,MB_DISPONIBLES,ORIGEN_LLAMADA,PRECIO_MENSUAL,PRECIO_MB_ADICIONAL,DENOMINACION_TECNOLOGIA,TIPO_PAGO,OTROS_BENEFICIOS
7394,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,XSMALL  INST PUBLICA ,0.80,0.66,0,5,,0.20,0,,75,0.02,,,
8138,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,A TU MEDIDA   PLAN L,1,1,1,0,,0.20,5000,,350,0.029,,,
11276,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,MEGA PLAN 109,"0,80",0.80,0.80,ILIMITADO,,0.20,4000,,109,0.03,,,
9831,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,PAQUETIGO MINUTOS NACIONALES 3,6,6,6,0,,0.20,0,,6,0.15,,,
12532,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,INTELIGENTE 150,0.89,0.89,0.89,30,,0.20,800,,150,0.029,,,
11785,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,PLAN L   PARAMOUNT    ,1,1,1,0,,0.20,6000,,379,0.029,,,
12543,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,CUENTA CONTROLADA L  NEA GEMELA,1,0.67,0.67,0,,0.20,0,,10,0.029,,,
12516,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,POSTPAGO FACIL 140,0.89,0.67,0.67,0,,0.20,0,,140,0.029,,,
12540,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,EJECUTIVO LIMITE ABIERTO 200,0.85,0.85,0.85,20,,0.20,8,,200,0.5,,,
7405,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,MEDIUM  SIMPLE ,0.80,0.66,0,0,,0.20,0,,250,0.02,,,
12562,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,A TU MEDIDA   PLAN XL PLUS,1,1,1,0,,0.20,8500,,500,0.029,,,
