ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DEPARTAMENTO,DESCRIPCION,COSTO_INSTALACION,TIPO_PAGO,OTROS_BENEFICIOS,NOMBRE_TARIFA_PLAN,ANCHO_BANDA_BAJADA,PRECIO_MENSUAL,ANCHO_BANDA_SUBIDA,DENOMINACION_TECNOLOGIA
5944,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Beni,,350,POSTPAGO, El servicio  valido para empresas e instituciones Legamente establecidos  El servicio es sobre tecnologia GPON    ,INTERNET CORPORATIVO 100  ,100,4780,100,GPON
5944,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Pando,,350,POSTPAGO, El servicio  valido para empresas e instituciones Legamente establecidos  El servicio es sobre tecnologia GPON    ,INTERNET CORPORATIVO 100  ,100,4780,100,GPON
5983,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,La Paz,,0,POSTPAGO,ACCESO SATELITAL,TELECENTRO TIPO A,0.128,860,0,SATELITAL
5983,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Cochabamba,,0,POSTPAGO,ACCESO SATELITAL,TELECENTRO TIPO A,0.128,860,0,SATELITAL
5983,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Santa Cruz,,0,POSTPAGO,ACCESO SATELITAL,TELECENTRO TIPO A,0.128,860,0,SATELITAL
5983,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Oruro,,0,POSTPAGO,ACCESO SATELITAL,TELECENTRO TIPO A,0.128,860,0,SATELITAL
5983,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Tarija,,0,POSTPAGO,ACCESO SATELITAL,TELECENTRO TIPO A,0.128,860,0,SATELITAL
5983,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Potosi,,0,POSTPAGO,ACCESO SATELITAL,TELECENTRO TIPO A,0.128,860,0,SATELITAL
5983,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Chuquisaca,,0,POSTPAGO,ACCESO SATELITAL,TELECENTRO TIPO A,0.128,860,0,SATELITAL
5983,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Beni,,0,POSTPAGO,ACCESO SATELITAL,TELECENTRO TIPO A,0.128,860,0,SATELITAL
5983,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Pando,,0,POSTPAGO,ACCESO SATELITAL,TELECENTRO TIPO A,0.128,860,0,SATELITAL
5930,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,La Paz,,400,POSTPAGO,   Internet Fibra On Line     provee un servicio a traves de un enlace dedicado  simetrico  ,ON LINE 10,10,3000,10,ON LINE
5930,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Cochabamba,,400,POSTPAGO,   Internet Fibra On Line     provee un servicio a traves de un enlace dedicado  simetrico  ,ON LINE 10,10,3000,10,ON LINE
5930,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Santa Cruz,,400,POSTPAGO,   Internet Fibra On Line     provee un servicio a traves de un enlace dedicado  simetrico  ,ON LINE 10,10,3000,10,ON LINE
5930,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Oruro,,400,POSTPAGO,   Internet Fibra On Line     provee un servicio a traves de un enlace dedicado  simetrico  ,ON LINE 10,10,3000,10,ON LINE
5930,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Tarija,,400,POSTPAGO,   Internet Fibra On Line     provee un servicio a traves de un enlace dedicado  simetrico  ,ON LINE 10,10,3000,10,ON LINE
5930,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Potosi,,400,POSTPAGO,   Internet Fibra On Line     provee un servicio a traves de un enlace dedicado  simetrico  ,ON LINE 10,10,3000,10,ON LINE
5930,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Chuquisaca,,400,POSTPAGO,   Internet Fibra On Line     provee un servicio a traves de un enlace dedicado  simetrico  ,ON LINE 10,10,3000,10,ON LINE
5930,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Beni,,400,POSTPAGO,   Internet Fibra On Line     provee un servicio a traves de un enlace dedicado  simetrico  ,ON LINE 10,10,3000,10,ON LINE
5930,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Pando,,400,POSTPAGO,   Internet Fibra On Line     provee un servicio a traves de un enlace dedicado  simetrico  ,ON LINE 10,10,3000,10,ON LINE
5984,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,La Paz,,0,POSTPAGO,internet satelital,TELECENTRO TIPO B,0.256,1189,0,SATELITAL
5984,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Cochabamba,,0,POSTPAGO,internet satelital,TELECENTRO TIPO B,0.256,1189,0,SATELITAL
5984,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Santa Cruz,,0,POSTPAGO,internet satelital,TELECENTRO TIPO B,0.256,1189,0,SATELITAL
5984,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Oruro,,0,POSTPAGO,internet satelital,TELECENTRO TIPO B,0.256,1189,0,SATELITAL
5984,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Tarija,,0,POSTPAGO,internet satelital,TELECENTRO TIPO B,0.256,1189,0,SATELITAL
5984,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Potosi,,0,POSTPAGO,internet satelital,TELECENTRO TIPO B,0.256,1189,0,SATELITAL
5984,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Chuquisaca,,0,POSTPAGO,internet satelital,TELECENTRO TIPO B,0.256,1189,0,SATELITAL
5984,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Beni,,0,POSTPAGO,internet satelital,TELECENTRO TIPO B,0.256,1189,0,SATELITAL
5984,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Pando,,0,POSTPAGO,internet satelital,TELECENTRO TIPO B,0.256,1189,0,SATELITAL
5985,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,La Paz,,0,POSTPAGO,Internet satelital,TELECENTRO TIPO C,0.512,1711,0,SATELITAL
5985,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Cochabamba,,0,POSTPAGO,Internet satelital,TELECENTRO TIPO C,0.512,1711,0,SATELITAL
5985,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Santa Cruz,,0,POSTPAGO,Internet satelital,TELECENTRO TIPO C,0.512,1711,0,SATELITAL
5985,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Oruro,,0,POSTPAGO,Internet satelital,TELECENTRO TIPO C,0.512,1711,0,SATELITAL
5985,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Tarija,,0,POSTPAGO,Internet satelital,TELECENTRO TIPO C,0.512,1711,0,SATELITAL
5985,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Potosi,,0,POSTPAGO,Internet satelital,TELECENTRO TIPO C,0.512,1711,0,SATELITAL
