ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DEPARTAMENTO,DESCRIPCION,CATEGORIA,MINUTOS_PULSOS_FIJOS,MINUTOS_PULSOS_UNIDAD,MINUTOS_PULSOS_MOVILES,TARIFA_NORMAL,TARIFA_REDUCIDA,TARIFA_SUPER_REDUCIDA,COSTO_INSTALACION,TIPO_PAGO,OTROS_BENEFICIOS,NOMBRE_TARIFA_PLAN,ANCHO_BANDA_BAJADA,PRECIO_MENSUAL,ANCHO_BANDA_SUBIDA,DENOMINACION_TECNOLOGIA
7267,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,no socios,80,0.00,0.00,0.56,0.56,0.56,0,PREPAGO,,PLAN 1 000 ,,79.7,,CABLE
7495,COOPERATIVA DE TELECOMUNICACIONES  LA PAZ  RESPONSABILIDAD LIMITADA   COTEL R L ,COTEL R.L.,La Paz,,SOCIO,200,MINUTOS,0,0.20,0.15,0.10,200,POSTPAGO,,LINEA BASICA RESIDENCIAL 4,,23.1,,CABLE
7493,COOPERATIVA DE TELECOMUNICACIONES  LA PAZ  RESPONSABILIDAD LIMITADA   COTEL R L ,COTEL R.L.,La Paz,,SOCIO,100,MINUTOS,0,0.50,0.40,0.30,200,POSTPAGO,,LINEA BASICA RESIDENCIAL 2,,20,,CABLE
7492,COOPERATIVA DE TELECOMUNICACIONES  LA PAZ  RESPONSABILIDAD LIMITADA   COTEL R L ,COTEL R.L.,La Paz,,SOCIO,50,MINUTOS,0,0.50,0.40,0.30,200,POSTPAGO,,LINEA BASICA RESIDENCIAL 1,,18,,CABLE
7494,COOPERATIVA DE TELECOMUNICACIONES  LA PAZ  RESPONSABILIDAD LIMITADA   COTEL R L ,COTEL R.L.,La Paz,,SOCIO,150,MINUTOS,0,0.50,0.40,0.30,200,POSTPAGO,,LINEA BASICA RESIDENCIAL 3,,21.5,,CABLE
7496,COOPERATIVA DE TELECOMUNICACIONES  LA PAZ  RESPONSABILIDAD LIMITADA   COTEL R L ,COTEL R.L.,La Paz,,SOCIO,70,LLAMADAS,0,0.60,0.60,0.60,200,POSTPAGO,,LINEA BASICA RESIDENCIAL 5,,27.4,,CABLE
7511,COOPERATIVA DE TELECOMUNICACIONES  LA PAZ  RESPONSABILIDAD LIMITADA   COTEL R L ,COTEL R.L.,La Paz,,SOCIO,90,LLAMADAS,0,0.50,0.50,0.50,200,POSTPAGO,,PLAN HOGAR,,40,,CABLE
7514,COOPERATIVA DE TELECOMUNICACIONES  LA PAZ  RESPONSABILIDAD LIMITADA   COTEL R L ,COTEL R.L.,La Paz,,SOCIO,1200,MINUTOS,0,0.16,0.14,0.09,200,POSTPAGO,,LINEA BASICA NO RESIDENCIAL 2,,149,,CABLE
7515,COOPERATIVA DE TELECOMUNICACIONES  LA PAZ  RESPONSABILIDAD LIMITADA   COTEL R L ,COTEL R.L.,La Paz,,SOCIO,350,MINUTOS,0,0.18,0.15,0.10,200,POSTPAGO,,LINEA BASICA NO RESIDENCIAL 1,,59.9,,CABLE
7565,COOPERATIVA DE TELECOMUNICACIONES  LA PAZ  RESPONSABILIDAD LIMITADA   COTEL R L ,COTEL R.L.,La Paz,,SOCIO,250,MINUTOS,0,0.20,0.15,0.10,200,POSTPAGO,,LINEA ADICIONAL SOCIO,,33,,CABLE
7566,COOPERATIVA DE TELECOMUNICACIONES  LA PAZ  RESPONSABILIDAD LIMITADA   COTEL R L ,COTEL R.L.,La Paz,,SOCIO,180,LLAMADAS,0,0.45,0.45,0.45,200,POSTPAGO,,PLAN ILLIMANI,,72,,CABLE
7567,COOPERATIVA DE TELECOMUNICACIONES  LA PAZ  RESPONSABILIDAD LIMITADA   COTEL R L ,COTEL R.L.,La Paz,,SOCIO,200,MINUTOS,0,0.18,0.14,0.09,200,POSTPAGO,,LINEA BASICA RDSI,,89,,CABLE
