ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DEPARTAMENTO,DESCRIPCION,CATEGORIA,MINUTOS_PULSOS_FIJOS,MINUTOS_PULSOS_UNIDAD,MINUTOS_PULSOS_MOVILES,TARIFA_NORMAL,TARIFA_REDUCIDA,TARIFA_SUPER_REDUCIDA,COSTO_INSTALACION,TIPO_PAGO,OTROS_BENEFICIOS,NOMBRE_TARIFA_PLAN,ANCHO_BANDA_BAJADA,PRECIO_MENSUAL,ANCHO_BANDA_SUBIDA,DENOMINACION_TECNOLOGIA
5987,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Oruro,,FIJA,20,0,0,0,0,0,200,POSTPAGO,,LE FTTH PULSO,,70,,CABLE
5987,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Tarija,,FIJA,20,0,0,0,0,0,200,POSTPAGO,,LE FTTH PULSO,,70,,CABLE
5987,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Potosi,,FIJA,20,0,0,0,0,0,200,POSTPAGO,,LE FTTH PULSO,,70,,CABLE
5987,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Chuquisaca,,FIJA,20,0,0,0,0,0,200,POSTPAGO,,LE FTTH PULSO,,70,,CABLE
5987,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Beni,,FIJA,20,0,0,0,0,0,200,POSTPAGO,,LE FTTH PULSO,,70,,CABLE
5987,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Pando,,FIJA,20,0,0,0,0,0,200,POSTPAGO,,LE FTTH PULSO,,70,,CABLE
5902,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,socios,200,0.00,0.00,0.50,0.37,0.25,80,POSTPAGO,,PLAN SOCIO INAL  MBRICO,,65.9,,CABLE
5963,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,no socios,667,0.00,0.00,0.62,0.62,0.62,280,PREPAGO,,PLAN USUARIO AVANZADO,,253.5,,CABLE
5988,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,La Paz,,FIJA,0,0,0,0.80,0.80,0.80,500,POSTPAGO,,PLAN ABONADO,,0.8,,CABLE
5988,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Cochabamba,,FIJA,0,0,0,0.80,0.80,0.80,500,POSTPAGO,,PLAN ABONADO,,0.8,,CABLE
5988,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Santa Cruz,,FIJA,0,0,0,0.80,0.80,0.80,500,POSTPAGO,,PLAN ABONADO,,0.8,,CABLE
5988,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Oruro,,FIJA,0,0,0,0.80,0.80,0.80,500,POSTPAGO,,PLAN ABONADO,,0.8,,CABLE
5988,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Tarija,,FIJA,0,0,0,0.80,0.80,0.80,500,POSTPAGO,,PLAN ABONADO,,0.8,,CABLE
5988,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Potosi,,FIJA,0,0,0,0.80,0.80,0.80,500,POSTPAGO,,PLAN ABONADO,,0.8,,CABLE
5988,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Chuquisaca,,FIJA,0,0,0,0.80,0.80,0.80,500,POSTPAGO,,PLAN ABONADO,,0.8,,CABLE
5988,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Beni,,FIJA,0,0,0,0.80,0.80,0.80,500,POSTPAGO,,PLAN ABONADO,,0.8,,CABLE
5988,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Pando,,FIJA,0,0,0,0.80,0.80,0.80,500,POSTPAGO,,PLAN ABONADO,,0.8,,CABLE
