ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DESCRIPCION,COSTO_INSTALACION,TIPO_PAGO,VIGENCIA_BOLSA,UNIDAD_VIGENCIA_BOLSA,NOMBRE_TARIFA_PLAN,MB_DISPONIBLES,PRECIO_MENSUAL,MINUTOS_COMBOS,DENOMINACION_TECNOLOGIA
1281,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,0,-,BOLSA DE MB EMPRESA,1,0.0092,0,PAQUETES
1282,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,0,-,BOLSA DE MB CORPORACIONES,1,0.0084,0,PAQUETES
690,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,INTERNET S PREMIUM,0,290,,INTERNET MOVIL
1223,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,PREPAGO,1,Hasta las 05:59 am del dÃ­a posterior a la compra,PAQUETIGO DIA,500,10,0,PAQUETES
7092,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,LTE 120,0,120,,INTERNET MOVIL
2793,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,1,MES,PAQUETE 4G   198,22.528,198,0,PAQUETES
2796,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,1,MES,PAQUETE 4G   20,1.536,20,0,PAQUETES
2798,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,1,MES,PAQUETE 4G   288,40960,288,0,PAQUETES
2805,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,1,MES,PAQUETE 4G   50,5120,50,0,PAQUETES
2789,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,PREPAGO,24,HORA,PAQUETE 4G   15,2560,15,0,PAQUETES
2790,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,24,HORA,PAQUETE 4G   2,250,2,0,PAQUETES
2795,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,PREPAGO,24,HORA,PAQUETE 4G   2,200,2,0,PAQUETES
2801,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,24,HORA,PAQUETE 4G   3,400,3,0,PAQUETES
2802,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,PREPAGO,24,HORA,PAQUETE 4G   3,350,3,0,PAQUETES
2803,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,24,HORA,PAQUETE 4G   4,600,4,0,PAQUETES
2804,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,PREPAGO,24,HORA,PAQUETE 4G   4,500,4,0,PAQUETES
